"","baseMean","log2FoldChange","lfcSE","stat","pvalue","padj"
"Mdk-ps1",0.18850798065259,-2.32464652240526,3.16074699792792,-0.73547377374058,0.462051006588765,NA
"Mdp1",0.558288087059931,0.623278735447494,1.46424035657125,0.42566695600919,0.670350543592547,NA
"Me2",1.18771159317559,-0.0438984798601373,1.10970942152477,-0.0395585357830156,0.968445085196021,NA
"Me3",2.09463903617496,0.629385273070331,0.802978602158205,0.783813256516053,0.433149694131438,NA
"Mea1",2.13496361265818,-0.753340555136469,0.773652669739057,-0.97374517610152,0.330183080361197,NA
"Meak7",1.3196838088059,-1.7048986231521,1.00001243250013,-1.70487742726326,0.0882172870875911,NA
"Mecom",0.0589457813943397,-1.17050490285429,3.16074699792792,-0.370325402071608,0.71114004900852,NA
"Mecr",0.623420638064883,-0.0709701186606774,1.45462423142456,-0.0487893141936553,0.961087198072142,NA
"Med10",1.76045326244053,-1.15575133293262,0.879517299646462,-1.31407458772806,0.18882110498763,NA
"Med11",0.232875715731418,0.494971800059626,2.83263521101428,0.174738984439296,0.861284733858456,NA
"Med17",1.68074629105942,-0.0306198155479488,0.918323568227732,-0.0333431664038002,0.973400931069477,NA
"Med18",0.287208295428988,0.797471310639387,2.44873150873642,0.325667108784373,0.744676232071957,NA
"Med20",0.592024203428619,-0.189300903832895,1.39257178051828,-0.135936191211947,0.891871724566185,NA
"Med21",0.894497965343736,0.0216822474064159,1.19009022939846,0.0182189945525184,0.985464149689378,NA
"Med22",2.05698693244698,0.669868144887644,0.805204892596566,0.831922596405869,0.405452636378192,NA
"Med26",0.788599165238284,-1.26183334686029,1.33593987640951,-0.944528544391991,0.344899622361015,NA
"Med27",1.76961136619332,-0.0717848793908446,0.799885675432573,-0.0897439241576915,0.928490710314977,NA
"Med28",1.86376567807759,0.25334934323774,0.846164050734796,0.299409249326694,0.764627805745532,NA
"Med29",0.277522279943556,0.750389482572314,2.228793394556,0.336679696020816,0.736358370909603,NA
"Med30",0.248663850778744,-1.74757522642188,3.03532178274503,-0.575746280462377,0.564786688438909,NA
"Med31",0.416784265256424,-0.132702518595535,1.82426057091399,-0.0727431819288013,0.942010485340509,NA
"Med4",0.49168893502011,-0.161987318109557,1.69371414840159,-0.0956402934122204,0.923806262349436,NA
"Med6",0.669850053607432,-0.195333633899319,1.3436063339734,-0.145380107967834,0.884410769343916,NA
"Med7",0.984211008716902,-0.587830150760858,1.19296719861679,-0.492746281240952,0.622191871689396,NA
"Med8",0.256597384320324,0.656245694689547,2.60964688677585,0.251469153936118,0.801451407693067,NA
"Medag",0.193821718839993,0.258881166989926,3.11855814494161,0.0830130961033509,0.933841126372429,NA
"Mef2b",0.471533586438469,-0.246357621777612,1.7164526967526,-0.143527183850567,0.885873843889349,NA
"Megf6",0.722659496416807,-1.05321790944088,2.49234548694192,-0.422581024564603,0.672600973529587,NA
"Mei1",0.0834507675940237,-0.611046048909553,3.16010218591362,-0.193362749987432,0.846674886075213,NA
"Meioc",0.0417253837970119,-1.17050490285429,3.16074699792792,-0.370325402071608,0.71114004900852,NA
"Meiosin",0.0969804377346324,-0.582745109869024,3.15959833057772,-0.184436453276158,0.853671074730932,NA
"Melk",0.0976453019776114,-2.32464652240526,3.16074699792792,-0.73547377374058,0.462051006588765,NA
"Memo1",1.40644791035473,0.722983658552524,1.05291369213692,0.68665044813427,0.49230302972424,NA
"Mertk",1.372609972662,0.61236753379918,1.03448760614519,0.591952508818394,0.553882390571207,NA
"Mesd",1.99706782535632,-0.84717671845747,0.791943841319835,-1.06974342656114,0.284734813367932,NA
"Mesp2",0.328214563210055,-1.74757899466413,2.47932364988659,-0.70486118048528,0.480896630291305,NA
"Met",1.89537309143253,0.28116913910391,0.824465191601225,0.341032152682929,0.733079376753876,NA
"Metap1d",0.98425724813287,-1.89843043993858,1.32524470017319,-1.43251313488783,0.1519970217789,NA
"Metrn",0.957914752753063,0.647742303949339,1.15294683083842,0.561814549139533,0.574242378316335,NA
"Metrnl",0.0589457813943397,-1.17050490285429,3.16074699792792,-0.370325402071608,0.71114004900852,NA
"Mettl1",0.469929312149819,1.4912047278507,1.68021864210997,0.887506358088068,0.374806344606245,NA
"Mettl14",0.988031027315262,0.766059788470808,1.21992711345008,0.627955375386576,0.530033173514718,NA
"Mettl15",0.472252702454413,1.53141233360994,1.48496465758806,1.03127864073029,0.302410171660549,NA
"Mettl17",1.33865006028892,0.294282722142302,0.965115487706078,0.30491969706316,0.760427313616586,NA
"Mettl18",0.159616946585691,-0.0369530660432555,3.13915159499546,-0.0117716729902969,0.990607780783603,NA
"Mettl2",0.333839480625266,-0.726654399230636,2.23975297085559,-0.324435064351339,0.745608676630933,NA
"Mettl21a",0.574453471858472,-2.20838834449633,1.57395363340772,-1.40308348201784,0.160591946188677,NA
"Mettl21c",0.104514819846529,-0.582745109869024,3.15959833057772,-0.184436453276158,0.853671074730932,NA
"Mettl22",0.923783424064853,0.849150302145215,1.16509116917328,0.728827343827311,0.466107283063646,NA
"Mettl23",0.216564021804954,0.404163395256889,3.10984428022569,0.129962582958513,0.896596030035076,NA
"Mettl25",0.443184945583608,-0.53530983974009,1.93200030957704,-0.277075442010298,0.78172217831193,NA
"Mettl26",0.906245743473548,-0.278388134915608,1.18258812554936,-0.235405826340668,0.81389376436242,NA
"Mettl27",0.651102287312925,-0.55006495150936,1.49610927990917,-0.367663618490993,0.713124071480009,NA
"Mettl3",1.05370503872278,-0.974020148427466,1.07520761397503,-0.905890300410473,0.364993918769544,NA
"Mettl4",1.93903959451074,1.47212927605907,0.97731033288603,1.50630687768523,0.13198841338754,NA
"Mettl5",0.913900702689406,-0.514700889276177,1.21299838699568,-0.424321165464179,0.671331605432127,NA
"Mettl6",1.32261913191428,-0.813035052069396,0.956695970260115,-0.84983639248354,0.395416053403736,NA
"Mettl7a1",0.591901023285355,-0.163558943999381,1.39562469256051,-0.117194074360567,0.906706262537635,NA
"Mettl8",0.955430573639037,-0.789871417445631,1.10130086850402,-0.717216738890409,0.473240372415472,NA
"Mex3a",0.826265319893649,0.873817283633149,1.20281435058598,0.726477268256274,0.467546237962434,NA
