Gene,Th_1,Th_2,Th_3,Th_4,Th_5,Am_1,Am_2,Am_3,Am_4,Am_5
Iqce,1,3,0,2,2,3,4,4,4,5
Iqcg,3,1,1,1,1,3,0,1,0,0
Iqch,0,1,0,0,0,1,0,0,0,0
Iqck,0,1,0,0,0,1,0,0,0,0
Iqcn,1,1,0,0,0,4,5,0,1,1
Iqgap1,1,3,0,2,1,6,3,4,6,6
Iqgap2,0,1,1,0,0,4,1,0,2,3
Iqgap3,0,0,0,1,0,0,0,0,0,0
Iqsec1,34,59,24,28,19,82,104,68,118,80
Iqsec2,4,6,4,2,2,20,21,4,13,13
Iqsec3,37,85,43,45,30,187,189,153,222,187
Iqub,1,0,0,0,0,0,1,0,0,0
Irag1,1,0,0,0,0,0,1,0,1,3
Irak1,5,5,4,6,3,9,7,9,9,11
Irak1bp1,1,0,0,0,0,0,1,0,1,0
Irak2,1,1,1,1,1,4,6,5,7,5
Ireb2,3,3,0,4,2,9,10,6,6,6
Irf2,0,2,1,0,1,5,5,2,5,3
Irf2bp1,4,2,5,6,3,13,11,14,24,16
Irf2bp2,3,5,5,6,4,10,32,16,14,22
Irf2bpl,4,6,9,8,1,18,15,15,26,16
Irf3,0,1,0,0,0,0,2,1,1,2
Irf5,0,1,0,0,0,0,0,1,2,0
Irf7,0,0,0,0,0,1,0,0,1,0
Irf8,0,0,0,0,0,0,0,0,0,1
Irf9,1,0,0,0,0,2,0,2,1,0
Irgm1,0,0,0,0,0,0,1,0,1,0
Irgm2,0,0,0,0,0,0,0,2,0,0
Irgq,4,11,4,5,3,12,13,19,11,12
Irs1,9,24,8,7,5,39,34,24,45,31
Irs2,5,9,14,4,7,14,27,19,36,19
Irs4,1,1,0,0,0,1,1,0,1,0
Irx2,0,0,0,0,0,0,0,1,1,0
Irx3,0,0,1,0,1,0,1,0,2,0
Irx4,1,0,0,0,0,1,0,1,3,0
Irx5,0,1,0,0,0,2,1,2,3,2
Irx6,0,0,0,1,0,2,2,5,1,0
Isca1,0,0,1,0,0,1,5,1,2,0
Isca2,1,0,4,2,2,6,5,0,1,3
Iscu,0,0,0,0,0,1,0,1,5,3
Isg20l2,1,4,1,3,0,5,4,1,0,1
Isl1,4,3,4,2,2,6,3,7,12,5
Isl2,1,0,0,1,0,1,0,0,0,0
Islr,0,0,0,0,0,1,1,1,1,0
Islr2,7,7,5,1,3,6,1,6,5,6
Ism1,0,0,0,0,0,1,0,0,1,0
Ism2,0,0,0,0,0,0,1,1,0,0
Isoc1,0,4,3,1,0,3,4,5,3,3
Isoc2a,2,0,0,1,1,4,3,2,4,1
Isoc2b,0,0,0,0,0,0,0,0,0,1
Ist1,3,6,4,2,2,13,19,12,12,14
Isy1,1,3,2,1,0,3,5,0,3,0
Isyna1,3,1,2,1,1,2,2,1,2,6
Itch,8,12,3,2,0,11,25,14,25,11
