Gene,RGC_1,RGC_2,RGC_3,RGC_4,BP_1,BP_2,BP_3,BP_4,ONL_1,ONL_2,ONL_3,ONL_4
2810049E08Rik,0,0,0,0,1,0,0,0,0,0,0,0
2810402E24Rik,1,0,1,0,2,2,0,1,4,2,2,2
2810403D21Rik,1,0,1,0,2,0,2,0,3,0,2,0
2810405F17Rik,0,0,0,0,1,0,0,0,1,0,0,0
2810407A14Rik,0,1,0,0,0,0,0,0,0,0,0,0
2810408A11Rik,0,0,0,0,0,0,0,0,0,1,0,0
2810408I11Rik,0,0,0,2,0,0,0,1,1,2,0,1
2810410L24Rik,1,6,4,0,0,1,1,1,2,1,0,0
2810414N06Rik,0,2,0,0,0,0,0,0,1,1,0,0
2810428J06Rik,1,1,0,0,0,0,0,1,2,0,0,0
2810429I04Rik,0,0,0,0,0,0,0,0,1,0,0,0
2810430I11Rik,0,0,1,0,0,0,0,0,0,0,0,0
2810433D01Rik,0,0,0,0,1,0,0,0,0,0,0,0
2810442N19Rik,1,1,2,0,0,0,0,0,2,2,0,0
2810454H06Rik,0,0,0,0,0,0,0,0,1,0,1,0
2810455O05Rik,2,2,5,2,3,4,1,3,2,4,0,0
2810459M11Rik,0,0,0,0,0,0,0,0,0,0,1,0
2810471M01Rik,0,0,0,1,0,0,0,0,0,0,0,0
2900002M20Rik,0,1,1,0,0,0,0,0,1,0,0,0
2900005J15Rik,0,0,0,0,0,0,1,1,0,0,0,0
2900018N21Rik,2,0,0,0,0,0,0,0,0,1,0,0
2900022M07Rik,1,2,0,0,0,0,1,1,0,1,0,1
2900026A02Rik,73,57,37,45,29,29,29,39,25,11,9,6
2900027M19Rik,10,2,5,2,2,2,0,2,0,0,2,0
2900035J10Rik,0,0,0,0,0,0,0,0,0,0,0,1
2900045O20Rik,1,1,0,0,0,0,0,0,0,0,0,0
2900052L18Rik,1,3,1,3,1,2,4,1,1,2,2,1
2900052N01Rik,57,37,46,54,1,3,1,1,4,4,2,2
2900057B20Rik,1,0,0,0,0,0,0,0,1,0,2,0
2900060N12Rik,0,0,0,2,0,0,1,0,0,0,0,0
2900064F13Rik,2,0,2,0,1,0,0,0,0,0,0,0
2900064K03Rik,6,4,5,1,4,3,1,2,4,0,0,1
2900072N19Rik,0,3,2,3,1,0,0,0,1,0,1,1
2900076A07Rik,0,0,0,0,0,1,0,0,1,2,1,0
2900078I11Rik,2,0,0,0,1,0,0,0,0,1,0,0
2900079G21Rik,1,0,1,0,0,1,0,0,0,0,0,0
2900089D17Rik,0,1,0,0,0,0,0,0,1,0,0,0
2900093K20Rik,0,1,2,1,0,0,0,0,0,0,0,0
