"","baseMean","log2FoldChange","lfcSE","stat","pvalue","padj"
"Alyref",15.6113002006162,-0.542917121553638,0.389517308267261,-1.39382027455664,0.163371884126589,0.313806060785034
"Cyp4f16",6.56241088615049,1.06134387648027,0.761475807178585,1.39379855075469,0.163378445925777,0.313806060785034
"E4f1",13.5856075655508,-0.609682301591466,0.437514548251184,-1.39351320779724,0.163464653850874,0.31393994152842
"Mpst",1.82736289695849,1.19317888285157,0.856280469153021,1.39344400092622,0.163485567823597,0.313948408437419
"Gcn1l1",2.91837479142362,1.18242391746203,0.848645823544757,1.39330670658708,0.163527063460711,0.31399639350759
"2810433D01Rik",3.95444277579765,1.19066664175406,0.854746960560141,1.39300482680135,0.1636183310774,0.314139928880915
"Gm23732",0.226092037273662,-1.81007348601205,1.29954114895734,-1.39285584566855,0.163663386838572,0.31419244848092
"Zfp948",5.47782146173066,1.04550167620932,0.75064461073535,1.39280514541378,0.163678722043922,0.31419244848092
"Rad21",86.1849994242727,-0.258030117729092,0.185326888124887,-1.39229725562117,0.163832402227773,0.314423985750627
"Tulp4",59.1273960598516,0.34183855038935,0.245517364985639,1.39231923741665,0.163825748600548,0.314423985750627
"Zfp865",2.73771772021048,-1.09363009045884,0.785552912645537,-1.39217877351608,0.163868268854325,0.314461091795612
"Zbtb48",4.13940901514215,-0.997092370273355,0.716434978680877,-1.39174160941895,0.16400065734356,0.314683395877318
"Dph7",8.99268560859846,-0.665842466784357,0.478593553431338,-1.39124829829093,0.164150145866441,0.31493846323639
"Chmp6",10.3313362740912,0.830278212388002,0.596836089653395,1.39113271932027,0.164185184706317,0.314973918134026
"E130307A14Rik",6.60270824447638,1.04900499562557,0.754136054631839,1.39100231209298,0.164224725634947,0.315018001845737
"Cldn15",0.265178504832708,-1.62805986920909,1.17078500567814,-1.39057116491349,0.164355505343572,0.315205290092769
"Phldb1",0.322042183587676,-1.33679143179669,0.961307894984974,-1.39059653912192,0.16434780642276,0.315205290092769
"RP23-247A1.6",0.0392475713843102,-4.28405959610036,3.08148831154806,-1.39025664320893,0.164450958567488,0.315229434940259
"RP23-26P10.2",0.0392475713843102,-4.28405959610036,3.08148831154806,-1.39025664320893,0.164450958567488,0.315229434940259
"RP23-319P12.1",0.0392475713843102,-4.28405959610036,3.08148831154806,-1.39025664320893,0.164450958567488,0.315229434940259
"RP24-351E22.2",0.0392475713843102,-4.28405959610036,3.08148831154806,-1.39025664320893,0.164450958567488,0.315229434940259
"Rnf146",27.1017979393087,0.513422268261907,0.369291756160044,1.39028900509601,0.164441135231381,0.315229434940259
"Rgs2",14.4397478179472,0.730769251809005,0.525690561594763,1.39011293942981,0.164494584679155,0.315281287301714
"Msh2",26.4946441309787,-0.442295769462274,0.318295554097187,-1.38957570650586,0.164657756993942,0.315562236350808
"Hectd3",7.04257198437842,-0.786020949429234,0.565752902787382,-1.38933613165151,0.164730561706522,0.315638159989902
"Nkpd1",0.304009061298736,-1.36698274599764,0.98389738146298,-1.38935499956819,0.16472482703171,0.315638159989902
"Csmd2",3.87766398769016,-0.991755628871015,0.713957444007245,-1.3890962790507,0.164803475103078,0.315685751618512
"Rims1",7.8017273100492,0.983081068389454,0.707715566062805,1.38909063970229,0.164805189715148,0.315685751618512
"Wdyhv1",5.56139581546447,1.05869037765903,0.762112623403886,1.38915213466812,0.164786493243047,0.315685751618512
"Ttc9",10.1016592915805,0.830236816835016,0.597896063517746,1.38859722867263,0.164955260559498,0.315941396747781
"Card9",2.37172309229094,-1.1762723367995,0.847248895025074,-1.38834331175456,0.165032529411395,0.31602574669628
"Hivep3",5.09491152403023,1.12956604559103,0.813576555971986,1.38839552012598,0.165016639781575,0.31602574669628
"Rnf128",1.80816599898788,-1.35138096627854,0.973437286355077,-1.38825683505368,0.165058851149045,0.316044333370847
"D3Ertd254e",5.53848632819825,1.05741913550541,0.76175606770347,1.38813352507096,0.165096389649635,0.316084391295995
"Otx2",453.805193141118,0.176014215170742,0.126852148809289,1.38755406844045,0.165272876130664,0.316390436481619
"9330104G04Rik",0.325128529509031,-1.2990308473371,0.936345845181702,-1.38734085703666,0.165337850157162,0.316482967479056
"Gm25593",0.234573942259742,-1.82841288292035,1.31806413787702,-1.38719568371334,0.165382101263938,0.316535816878785
"Zfp354a",9.56240605693311,0.983890438118752,0.709294076408623,1.38714035664938,0.165398968166622,0.316536248465371
"AW549877",30.5773334689317,-0.46925017314185,0.338310860088669,-1.38703845634415,0.165430036686146,0.316563855916215
"Klhl26",7.19555695046797,-0.789007200773483,0.568927388878609,-1.38683286513709,0.165492733031049,0.316613479646578
"Ppp3r1",42.8434841679978,-0.345600986486609,0.249209373242737,-1.38678967805109,0.165505905479519,0.316613479646578
"Zfp623",1.82088575527684,1.19486320525404,0.861591003232456,1.38681021595077,0.165499641137582,0.316613479646578
"Msantd4",41.9053300551545,0.397718965990959,0.286807507174977,1.38671044530336,0.165530074229502,0.316627870265421
"Pzp",0.329958066058762,-1.30473425032886,0.940934660010948,-1.38663640078226,0.165552662789995,0.31663923568914
"Pou3f3",0.0702580614925371,-3.5237635503411,2.54177533495519,-1.38633950132466,0.165643260395774,0.316780661169116
