,Gene,Bipolar1/Rods,Bipolar2/Rods,Bipolar3/Rods,Bipolar4/Rods,Bipolar5/Rods,Bipolar6/Rods,Bipolar1/Cones,Bipolar2/Cones,Bipolar3/Cones,Bipolar4/Cones,Bipolar5/Cones,Bipolar6/Cones,Bipolar1/MG,Bipolar2/MG,Bipolar3/MG,Bipolar4/MG,Bipolar5/MG,Bipolar6/MG,Bipolar1/BCs,Bipolar2/BCs,Bipolar3/BCs,Bipolar4/BCs,Bipolar5/BCs,Bipolar6/BCs
1700008K24Rik,1700008K24Rik,0,0,0,0,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1
1700008O03Rik,1700008O03Rik,1,0,1,0,0,0,0.0,0,0,0,0,0,0,2,0,0,5,2,18,21,14,24,33,39
1700009C05Rik,1700009C05Rik,0,0,0,0,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
1700009N14Rik,1700009N14Rik,0,0,0,0,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,1,0
1700010B13Rik,1700010B13Rik,0,0,0,0,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
1700010H22Rik,1700010H22Rik,0,0,0,0,0,0,0.0,0,0,0,0,0,0,0,1,0,2,0,0,0,0,0,0,0
1700010I02Rik,1700010I02Rik,0,0,0,0,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1700010I14Rik,1700010I14Rik,0,0,0,0,0,0,0.0,0,0,0,0,0,0,3,1,1,4,2,5,6,4,3,11,14
1700010J16Rik,1700010J16Rik,0,0,0,0,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1700010K23Rik,1700010K23Rik,0,0,0,0,0,0,0.0,0,0,0,0,0,0,0,0,0,1,2,0,2,0,2,13,8
1700010K24Rik,1700010K24Rik,0,0,0,0,0,0,0.0,0,0,0,0,0,0,1,1,1,1,1,0,4,8,5,4,8
1700010L04Rik,1700010L04Rik,0,0,0,0,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
1700011A15Rik,1700011A15Rik,0,0,0,0,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0
