Gene,ONL_1,ONL_2,ONL_3,ONL_4,ONL_5,ONL_6,BP_1,BP_2,BP_3,BP_4,BP_5,BP_6
Tm6sf2,0,0,0,0,0,0,6,7,12,7,16,14
Tm7sf2,0,0,0,0,0,0,15,26,15,36,69,50
Tm7sf3,2,2,1,1,3,6,136,158,131,176,308,238
Tm9sf1,2,0,1,2,1,0,16,22,21,18,53,34
Tm9sf2,0,1,1,3,7,5,125,169,166,186,335,288
Tm9sf3,5,4,9,17,15,30,542,711,768,856,1565,1465
Tm9sf4,1,1,3,0,7,3,148,176,153,202,454,384
Tma16,0,1,1,2,2,1,33,69,56,81,161,117
Tma7,17,28,21,30,65,45,460,854,576,728,1257,888
Tmbim1,0,0,0,0,0,0,32,49,46,58,122,95
Tmbim4,1,2,3,8,5,5,193,268,226,263,513,471
Tmbim6,7,11,15,21,34,38,993,1185,1142,1319,2426,2176
Tmbim7,0,0,0,0,0,0,0,1,0,0,0,0
Tmc2,0,0,0,0,0,0,0,1,1,0,0,0
Tmc3,0,0,0,0,0,0,0,1,1,1,0,2
Tmc4,0,0,0,0,0,0,8,9,12,11,19,12
Tmc5,0,0,0,0,0,0,0,0,0,0,0,1
Tmc6,0,0,0,0,3,0,1,1,1,3,5,4
Tmc7,0,0,0,0,0,0,6,6,6,10,15,14
Tmc8,0,0,0,0,0,0,0,0,0,1,0,0
Tmcc1,0,1,1,3,2,4,88,123,122,139,199,174
Tmcc2,2,2,2,4,5,6,145,171,179,197,386,347
Tmcc3,6,1,6,5,7,9,270,343,338,370,1022,906
Tmcc3os,0,0,0,0,0,0,0,0,0,1,1,0
Tmco1,0,1,6,5,0,7,207,292,280,330,598,574
Tmco3,2,1,0,0,4,1,50,46,57,62,114,98
Tmco4,0,0,0,0,0,0,0,1,1,0,2,1
Tmco5b,0,0,0,0,0,0,0,0,0,1,2,0
Tmco6,0,0,0,0,1,1,42,49,48,48,123,92
Tmed1,0,1,1,1,1,3,45,59,54,51,125,113
Tmed10,7,2,5,19,10,10,422,595,571,621,976,780
Tmed2,1,4,3,6,3,6,156,246,201,249,315,330
Tmed3,1,0,3,3,6,5,126,174,129,182,423,306
Tmed4,3,0,2,1,10,9,220,297,303,313,459,417
Tmed5,0,0,0,3,1,5,105,153,136,142,284,238
Tmed6,0,0,0,0,0,0,0,1,0,0,0,0
Tmed7,7,0,3,6,6,4,203,239,217,212,515,434
Tmed8,0,0,2,2,1,0,12,21,16,21,22,32
Tmed9,4,6,3,12,8,16,352,432,431,472,1083,950
Tmeff1,0,0,1,1,1,1,74,105,116,104,194,164
Tmeff2,0,0,0,1,0,2,42,47,53,57,131,141
Tmem100,0,0,0,0,0,0,0,1,1,0,0,0
Tmem101,2,1,1,3,1,3,107,114,96,132,300,229
Tmem102,0,0,0,0,0,0,1,4,1,2,4,2
Tmem104,0,0,0,0,1,0,3,3,5,4,7,10
Tmem106a,0,0,0,0,0,0,3,2,5,0,6,6
Tmem106b,4,0,7,1,8,3,208,336,273,300,530,465
Tmem106c,0,2,5,1,7,6,81,93,81,96,171,196
Tmem107,0,1,3,7,5,3,23,38,35,43,122,99
Tmem108,1,0,0,0,5,1,41,51,50,51,181,154
Tmem109,0,1,1,1,4,0,95,97,87,125,234,190
Tmem11,2,2,4,1,5,5,130,153,155,185,279,276
Tmem110,2,0,0,3,1,2,40,67,68,65,99,79
