Gene,ONL_1,ONL_2,ONL_3,ONL_4,ONL_5,ONL_6,BP_1,BP_2,BP_3,BP_4,BP_5,BP_6
Exosc5,0,2,0,1,1,4,72,71,57,98,226,191
Exosc7,1,2,3,2,0,2,126,182,150,159,311,321
Exosc8,0,1,2,2,3,1,93,124,128,130,236,237
Exosc9,2,1,3,7,4,10,140,207,188,225,331,274
Exph5,0,0,0,0,0,0,2,1,0,1,0,0
Ext1,3,2,1,5,1,5,17,25,24,33,78,63
Ext2,0,0,1,0,0,1,83,75,78,83,218,183
Extl1,0,0,0,0,1,1,13,18,21,24,24,13
Extl2,7,6,12,8,14,9,578,770,811,940,1496,1271
Extl3,1,2,2,3,1,2,86,118,95,124,218,221
Eya1,0,0,0,0,0,0,6,4,5,9,15,11
Eya2,0,0,0,0,0,0,5,2,3,7,7,6
Eya3,1,0,0,2,1,2,37,50,44,65,61,66
Eya4,0,0,0,0,0,0,2,5,4,2,13,11
Ezh1,2,4,1,8,3,8,144,186,189,247,312,308
Ezh2,4,6,6,8,19,14,454,588,620,664,1283,1099
Ezr,0,3,0,3,0,4,133,150,159,181,293,235
F10,0,0,0,0,0,0,1,4,3,1,0,1
F11,0,0,0,0,0,0,0,0,0,0,0,0
F11r,0,0,0,0,0,0,3,5,3,4,8,6
F13a1,0,0,0,0,0,0,0,0,0,0,1,2
F2,0,0,0,0,1,0,5,14,5,10,12,8
F2r,0,0,0,0,0,0,2,2,2,6,16,9
F2rl1,0,0,0,0,0,0,0,0,0,0,1,0
F2rl3,0,0,0,0,0,0,1,1,5,6,7,2
F3,0,0,0,0,3,0,21,22,16,21,75,60
F420014N23Rik,0,0,0,0,0,1,8,8,4,7,14,7
F5,0,0,1,0,0,1,1,5,0,3,11,12
F630028O10Rik,0,0,0,0,0,0,0,0,0,0,0,0
F630040K05Rik,1,0,1,4,5,3,5,3,4,3,12,14
F7,0,0,0,0,0,0,4,1,1,1,4,2
F730016J06Rik,0,0,0,0,0,0,4,3,1,3,5,2
F730035M05Rik,0,0,0,0,0,0,0,0,1,0,0,0
F730043M19Rik,0,0,0,0,1,2,7,14,7,11,36,25
F730311O21Rik,0,0,0,0,0,0,0,1,0,0,0,0
F8,0,0,0,1,1,0,6,8,10,8,43,22
F830016B08Rik,0,0,0,0,0,0,0,0,0,0,0,0
F830045P16Rik,0,0,0,0,0,0,1,0,0,1,0,0
F830112A20Rik,0,0,0,0,0,0,0,0,0,0,0,0
F830208F22Rik,0,0,0,0,0,0,0,0,0,0,0,0
F830212C03Rik,0,0,0,0,0,0,0,0,0,0,0,0
F8a,1,0,0,7,1,1,77,93,85,99,163,150
