"","baseMean","log2FoldChange","lfcSE","stat","pvalue","padj"
"Nfatc4",0.710891846980251,2.39220006408195,1.62507198929438,1.47205790256754,0.14100524220422,NA
"Nfe2l2",0.970658190253749,-0.930767467921303,1.12393418548394,-0.828133426265111,0.40759494115151,NA
"Nfe2l3",0.0484902188673162,1.17048292813144,3.16074699792792,0.370318449688878,0.711145228588265,NA
"Nfil3",1.08637485462893,-0.604419170681647,1.18961614471042,-0.508079159289466,0.611397830132139,NA
"Nfkb1",1.40999665293399,-0.0616292254662592,0.973580272048578,-0.0633016375081028,0.949526311837646,NA
"Nfkb2",0.145331499972676,0.166747306855061,3.14761334898122,0.0529757909779587,0.957751196622076,NA
"Nfkbia",1.19499794161801,1.70678906083871,1.08832054802199,1.5682778974823,0.11681629180695,NA
"Nfkbib",2.1446968003091,-0.436086981034457,0.81135145763081,-0.537482218011729,0.590934564611459,NA
"Nfkbid",0.139370685774623,1.74755517922007,3.16074699792792,0.552893091527322,0.58033661831989,NA
"Nfkbil1",0.0976453019776114,2.32462454768241,3.16074699792792,0.73546682135785,0.462055239266418,NA
"Nfkbiz",0.631778736810677,-1.12136397199014,1.2963755183239,-0.864999343276676,0.38703914923912,NA
"Nfs1",1.04834678233057,0.576500014206379,1.1070070595483,0.520773566197139,0.602524519518061,NA
"Nfu1",2.15842025694651,0.721750794786534,0.769322717578494,0.938163891816822,0.348160191461608,NA
"Nfxl1",0.935321836597439,0.795520098034837,1.12332267180438,0.708184850179335,0.478830472933431,NA
"Nfya",1.68826424600826,-0.0485631974570704,0.867214196290188,-0.0559990803481038,0.955342539789211,NA
"Nfyb",0.770495834622958,2.63105019026437,1.42098405354818,1.85156911767917,0.064087721080955,NA
"Nfyc",1.64126900554432,0.022444086913133,0.869749386912421,0.0258052345317641,0.979412686687974,NA
"Ngb",0.547992365132634,1.80449069179602,1.68529204350319,1.0707287788798,0.284291398753486,NA
"Ngdn",0.398594781879003,0.271330017622578,1.85034482082723,0.14663754267233,0.88341811920944,NA
"Ngef",1.71342881674347,-0.496831260783813,0.903483000610153,-0.549906595307589,0.582383440352808,NA
"Ngly1",1.51878100883786,-0.153552587068045,0.986304386727229,-0.155684785685244,0.876281490196475,NA
"Ngrn",0.888014423758833,1.39359441968666,1.22473589829775,1.13787341550419,0.25517334348751,NA
"Nhlh1",1.12182612586422,0.277662656768404,1.02337054834527,0.271321719407861,0.78614360310401,NA
"Nhlrc1",2.47389187835875,0.237454696970335,0.689471748926694,0.344400908869699,0.730544805449615,NA
"Nhlrc3",1.279159391394,1.43347327048087,0.959885960260182,1.49337872396042,0.135338079014391,NA
"Nhlrc4",0.0618807323786526,1.17048292813144,3.16074699792792,0.370318449688878,0.711145228588265,NA
"Nhp2",0.280443460358683,-0.766436158312515,2.48481157555476,-0.308448401421102,0.757741157038744,NA
"Nhsl1",1.75137580827143,-0.432532102800132,0.893959485875987,-0.483838596305397,0.628500421061866,NA
"Niban1",1.32415001672465,0.276696697227075,1.05732555471283,0.261694892357186,0.793556678654112,NA
"Nid1",2.33343314671231,1.29066163255342,0.716591153781067,1.80111298575665,0.0716850733785442,NA
"Nid2",0.408294567933621,0.22418540915086,1.71959115436058,0.130371343550102,0.896272637599886,NA
"Nifk",0.935069437740525,-0.351673876664092,1.21953552181235,-0.288367063012212,0.773065777266087,NA
"Nim1k",2.18605271545677,1.01564334955939,0.72924460064453,1.39273345138481,0.163700409042876,NA
"Ninj1",0.507108568382508,-0.758738311790256,1.43901940467018,-0.527260653558842,0.59801259379929,NA
"Nip7",0.483909568354798,-0.311409834342579,1.55403312198803,-0.200388157714554,0.841177020435738,NA
"Nipa1",1.02994966259779,-0.810574855759868,1.16395089149216,-0.696399531702519,0.48617865624127,NA
"Nipa2",1.00138312402315,0.925134778153851,1.09259080127763,0.846734913997117,0.397142893473594,NA
